track_id,artist,song,favorites
2tgyk,MAGDALENA BAY,Money Lover,337
2teq6,Sofi Tukker & ZHU,Mi Rumba,313
2thws,Koresma,Turquoise (edapollo Remix),207
2tewf,HVOB,Bloom,163
2thew,Baby FuzZ,What U Gonna Do 4 Luv,87
2tbe9,Don Ray,Got To Have Nothing (Mighty Mouse Dub Ed...,130
2th9s,Young Franco,Otherside feat. Reva Devito & Golden Ves...,79
2tj3q,Far Caspian,Conversations,130
2th1a,YOLANDA BE COOL,Dance and Chant,45
2e3a9,Deutsch Duke,Harder Without You (MXXWLL Remix),89
2th7v,Lauran Hibberd,Sugardaddy,80
2n805,Alvvays,In Undertow,409
2tgqr,Trudy and the Romance,The Original Doo-Wop Spacemen,49
2tjj1,Wy,Pavements,37
2ssxv,Jessica Pratt,This Time Around,116
2tg1c,CUT_,Fever feat. Klangstof,139
2tj2k,Yoste,Empty,28
2tj3e,Death Hags,Electrochemical Communication,49
2stwj,BOY HARSHER,Face the Fire,58
2t5t7,BOY HARSHER,Fate,100
2map3,Sylvan Esso,Die Young,1635
2j30s,Sylvan Esso,Radio,5752
2t9zx,Spielbergs,Five On It,56
2kccx,Dabeull,DO IT,409
293b7,OOFJ,I FORGIVE YOU,133
2ssca,O FUTURE,SMELL YOU,923
2tf63,Saeyers,Cruise,61
2sdb8,Rejoicer,Cloud of Me,13
2thhq,SACRE,08:00PM JUNGLIZATION,27
2tewe,Bonobo,Ibrik,17
2t5pj,Dave Harrington Group,Well,10
zsrq,Ron Basejam,Into My Life,35
2t4fr,Angel-Ho,Like A Girl feat K Rizz,21
2t0xn,MABUTA,Log Out Shut Down (Slugabed Remix),33
2tk27,Ark Patrol,"Darling, You Can't Walk Away",14
2td6m,SEED ENSEMBLE,Afronaut,68
2te2c,Supercaan,The Bull (Edit),27
2g9m9,Cate Le Bon,Wonderful,23
2tekh,Dayo Bello,Wait For You,60
2tdqx,Ayelle,Obvious,265
x2ta,Camera Obscura,Tougher Than The Rest,51
15gg3,Black Math Horseman,Tyrant,16
2te16,CHARLOTTE ADIGÉRY,HIGH LIGHTS,13
2thmh,Axel Mansoor,The Other Side,33
2tfhm,Birch,Spelling Lessons,14
2pjbk,Exploded View,Summer Came Early,12
2rb65,Lucille Furs,Another Land,78
2tjvj,Mayberian Sanskülotts,Unreal,1
2t62t,Be Forest,BENGALA,51
2t40e,Fanclub,Stranger,82
25h8q,ODESZA,Memories That You Call (feat. Monsoonsir...,18271
2f8gq,Pretty Sister,DRIVE,1877
22khy,The Night VI,Thinkin Bout You (Frank Ocean cover),3740
25xj2,SAFIA,Cavalier (James Vincent McMorrow Cover),6619
2nd1a,Mura Masa,WAVE,501
28b1s,BEARSON,Pink Medicine,8798
2eca3,Alex Brandt,Until The End (feat. GuitK),1688
29znk,San Cisco,Magic,1015
2n302,Lauv,I Like Me Better,1628
24y0x,Olympic Ayres,Control,14274
28484,Gold Spectacles,Lately,2817
28wa2,Refs,Pain Goes Away,7299
sh5x,Mos Def,Quiet Dog Bite Hard,625
2pssx,Exmag,Going Down Slow,1385
2msje,Red Axes,A2 Tantram Power,102
22dp2,Calvin Harris feat. Kelis,Bounce (Artec Remix),6130
2ps7f,WITHOUT,Love Liike This (feat. Essie),613
2rd2c,NVDES,Anything Goes,771
1z9d9,Keys N Krates,I JUST CANT DENY,5933
2j698,Melvv & MOONZz,Goodbye,2572
2mya9,Ladi6,Ladi6,75
2smb9,Tommy Guerrero,El Camino Negro,375
2smw6,Kyson,Forest Green,813
21c1z,SKOGSRÅ,Now You See Me,1546
22521,HOW SAD,It Is What It Is (Blood Orange Cover),294
227er,Waterstrider,Redwood,1772
2knsf,Ninajirachi,Pure Luck (feat. Freya Staer),2979
2fygd,hundred waters,Show Me Love (Skrillex Remix) feat. Chan...,11318
223ke,Dale Earnhardt Jr. Jr.,Rush Into Love (feat. Slim from 112 & Ch...,427
25pwf,The White Panda,Cooler Than Latch (Disclosure feat. Sam...,14747
1yxxx,Arctic Monkeys,Stop The World I Wanna Get Off With You,3748
1w7p9,Canopy Climbers,Stuck,125
29fcz,Pree,Hooks & Eyes,23
2fnr0,Worry,Feat. Anderson .Paak,5333
1vpnn,NONONO,Pumpin Blood,15045
